"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","962","TC0006-2: Sort by Price (high to low)","","Tue Aug 05 14:33:29 IDT 2025","passed","Tue Aug 05 14:33:30 IDT 2025","","Product sorting tests","",""
"","10646","TC0005: Saving the Cart After Logout","","Tue Aug 05 14:33:25 IDT 2025","passed","Tue Aug 05 14:33:36 IDT 2025","","Cart tests","",""
"","11814","TC0007-1: Twitter link opens correct page","","Tue Aug 05 14:33:25 IDT 2025","passed","Tue Aug 05 14:33:37 IDT 2025","","Footer tests","",""
"","10414","TC0004: Valid logout after login","","Tue Aug 05 14:33:23 IDT 2025","passed","Tue Aug 05 14:33:33 IDT 2025","","Logout tests","",""
"","10737","TC0009: Checkout without products","","Tue Aug 05 14:33:35 IDT 2025","failed","Tue Aug 05 14:33:46 IDT 2025","","Checkout tests","",""
"","929","TC0003: Login with invalid login","","Tue Aug 05 14:33:33 IDT 2025","passed","Tue Aug 05 14:33:34 IDT 2025","","Login tests","",""
"","4688","TC0008: Valid Checkout","","Tue Aug 05 14:33:31 IDT 2025","passed","Tue Aug 05 14:33:35 IDT 2025","","Checkout tests","",""
"","1681","TC0002: Login with invalid password","","Tue Aug 05 14:33:31 IDT 2025","passed","Tue Aug 05 14:33:33 IDT 2025","","Login tests","",""
"","769","TC0006-4: Sort by Name (Z to A)","","Tue Aug 05 14:33:31 IDT 2025","passed","Tue Aug 05 14:33:32 IDT 2025","","Product sorting tests","",""
"","4236","TC0007-3: LinkedIn link opens correct page","","Tue Aug 05 14:33:41 IDT 2025","passed","Tue Aug 05 14:33:45 IDT 2025","","Footer tests","",""
"","1449","TC0006-3: Sort by Name (A to Z)","","Tue Aug 05 14:33:30 IDT 2025","passed","Tue Aug 05 14:33:31 IDT 2025","","Product sorting tests","",""
"","4780","TC0001: Valid login","","Tue Aug 05 14:33:26 IDT 2025","passed","Tue Aug 05 14:33:31 IDT 2025","","Login tests","",""
"","4679","TC0007-2: Facebook link opens correct page","","Tue Aug 05 14:33:37 IDT 2025","passed","Tue Aug 05 14:33:41 IDT 2025","","Footer tests","",""
"","2698","TC0006-1: Sort by Price (low to high)","","Tue Aug 05 14:33:26 IDT 2025","passed","Tue Aug 05 14:33:29 IDT 2025","","Product sorting tests","",""
